lat,long
50.07961,6.40263
50.07961,6.41263
50.07961,6.42263
50.07961,6.43263
50.07961,6.44263
50.07961,6.45263
50.07961,6.46263
50.07961,6.47263
50.07961,6.48263
50.07961,6.49263
50.07961,7.40263
50.07961,7.41263
50.07961,7.42263
50.07961,7.43263
50.07961,7.44263
50.07961,7.45263
50.07961,7.46263
50.07961,7.47263
50.07961,7.48263
50.07961,7.49263
50.07961,8.40263
50.07961,8.41263
50.07961,8.42263
50.07961,8.43263
50.07961,8.44263
50.07961,8.45263
50.07961,8.46263
50.07961,8.47263
50.07961,8.48263
50.07961,8.49263
50.07961,9.40263
50.07961,9.41263
50.07961,9.42263
50.07961,9.43263
50.07961,9.44263
50.07961,9.45263
50.07961,9.46263
50.07961,9.47263
50.07961,9.48263
50.07961,9.49263
50.07961,10.40263
50.07961,10.41263
50.07961,10.42263
50.07961,10.43263
50.07961,10.44263
50.07961,10.45263
50.07961,10.46263
50.07961,10.47263
50.07961,10.48263
50.07961,10.49263
50.07961,11.40263
50.07961,11.41263
50.07961,11.42263
50.07961,11.43263
50.07961,11.44263
50.07961,11.45263
50.07961,11.46263
50.07961,11.47263
50.07961,11.48263
50.07961,11.49263
50.17961,6.40263
50.17961,6.41263
50.17961,6.42263
50.17961,6.43263
50.17961,6.44263
50.17961,6.45263
50.17961,6.46263
50.17961,6.47263
50.17961,6.48263
50.17961,6.49263
50.17961,7.40263
50.17961,7.41263
50.17961,7.42263
50.17961,7.43263
50.17961,7.44263
50.17961,7.45263
50.17961,7.46263
50.17961,7.47263
50.17961,7.48263
50.17961,7.49263
50.17961,8.40263
50.17961,8.41263
50.17961,8.42263
50.17961,8.43263
50.17961,8.44263
50.17961,8.45263
50.17961,8.46263
50.17961,8.47263
50.17961,8.48263
50.17961,8.49263
50.17961,9.40263
50.17961,9.41263
50.17961,9.42263
50.17961,9.43263
50.17961,9.44263
50.17961,9.45263
50.17961,9.46263
50.17961,9.47263
50.17961,9.48263
50.17961,9.49263
50.17961,10.40263
50.17961,10.41263
50.17961,10.42263
50.17961,10.43263
50.17961,10.44263
50.17961,10.45263
50.17961,10.46263
50.17961,10.47263
50.17961,10.48263
50.17961,10.49263
50.17961,11.40263
50.17961,11.41263
50.17961,11.42263
50.17961,11.43263
50.17961,11.44263
50.17961,11.45263
50.17961,11.46263
50.17961,11.47263
50.17961,11.48263
50.17961,11.49263
50.27961,6.40263
50.27961,6.41263
50.27961,6.42263
50.27961,6.43263
50.27961,6.44263
50.27961,6.45263
50.27961,6.46263
50.27961,6.47263
50.27961,6.48263
50.27961,6.49263
50.27961,7.40263
50.27961,7.41263
50.27961,7.42263
50.27961,7.43263
50.27961,7.44263
50.27961,7.45263
50.27961,7.46263
50.27961,7.47263
50.27961,7.48263
50.27961,7.49263
50.27961,8.40263
50.27961,8.41263
50.27961,8.42263
50.27961,8.43263
50.27961,8.44263
50.27961,8.45263
50.27961,8.46263
50.27961,8.47263
50.27961,8.48263
50.27961,8.49263
50.27961,9.40263
50.27961,9.41263
50.27961,9.42263
50.27961,9.43263
50.27961,9.44263
50.27961,9.45263
50.27961,9.46263
50.27961,9.47263
50.27961,9.48263
50.27961,9.49263
50.27961,10.40263
50.27961,10.41263
50.27961,10.42263
50.27961,10.43263
50.27961,10.44263
50.27961,10.45263
50.27961,10.46263
50.27961,10.47263
50.27961,10.48263
50.27961,10.49263
50.27961,11.40263
50.27961,11.41263
50.27961,11.42263
50.27961,11.43263
50.27961,11.44263
50.27961,11.45263
50.27961,11.46263
50.27961,11.47263
50.27961,11.48263
50.27961,11.49263
50.37961,6.40263
50.37961,6.41263
50.37961,6.42263
50.37961,6.43263
50.37961,6.44263
50.37961,6.45263
50.37961,6.46263
50.37961,6.47263
50.37961,6.48263
50.37961,6.49263
50.37961,7.40263
50.37961,7.41263
50.37961,7.42263
50.37961,7.43263
50.37961,7.44263
50.37961,7.45263
50.37961,7.46263
50.37961,7.47263
50.37961,7.48263
50.37961,7.49263
50.37961,8.40263
50.37961,8.41263
50.37961,8.42263
50.37961,8.43263
50.37961,8.44263
50.37961,8.45263
50.37961,8.46263
50.37961,8.47263
50.37961,8.48263
50.37961,8.49263
50.37961,9.40263
50.37961,9.41263
50.37961,9.42263
50.37961,9.43263
50.37961,9.44263
50.37961,9.45263
50.37961,9.46263
50.37961,9.47263
50.37961,9.48263
50.37961,9.49263
50.37961,10.40263
50.37961,10.41263
50.37961,10.42263
50.37961,10.43263
50.37961,10.44263
50.37961,10.45263
50.37961,10.46263
50.37961,10.47263
50.37961,10.48263
50.37961,10.49263
50.37961,11.40263
50.37961,11.41263
50.37961,11.42263
50.37961,11.43263
50.37961,11.44263
50.37961,11.45263
50.37961,11.46263
50.37961,11.47263
