lat,long
50.07065,6.40203
50.07065,6.40213
50.07065,6.40223
50.07065,6.40233
50.07065,6.40243
50.07065,6.40253
50.07065,6.40263
50.07065,6.40273
50.07065,6.40283
50.07065,6.40293
50.07065,6.41203
50.07065,6.41213
50.07065,6.41223
50.07065,6.41233
50.07065,6.41243
50.07065,6.41253
50.07065,6.41263
50.07065,6.41273
50.07065,6.41283
50.07065,6.41293
50.07065,6.42203
50.07065,6.42213
50.07065,6.42223
50.07065,6.42233
50.07065,6.42243
50.07065,6.42253
50.07065,6.42263
50.07065,6.42273
50.07065,6.42283
50.07065,6.42293
50.07065,6.43203
50.07065,6.43213
50.07065,6.43223
50.07065,6.43233
50.07065,6.43243
50.07065,6.43253
50.07065,6.43263
50.07065,6.43273
50.07065,6.43283
50.07065,6.43293
50.07065,6.44203
50.07065,6.44213
50.07065,6.44223
50.07065,6.44233
50.07065,6.44243
50.07065,6.44253
50.07065,6.44263
50.07065,6.44273
50.07065,6.44283
50.07065,6.44293
50.07065,6.45203
50.07065,6.45213
50.07065,6.45223
50.07065,6.45233
50.07065,6.45243
50.07065,6.45253
50.07065,6.45263
50.07065,6.45273
50.07065,6.45283
50.07065,6.45293
50.07065,6.46203
50.07065,6.46213
50.07065,6.46223
50.07065,6.46233
50.07065,6.46243
50.07065,6.46253
50.07065,6.46263
50.07065,6.46273
50.07065,6.46283
50.07065,6.46293
50.07065,6.47203
50.07065,6.47213
50.07065,6.47223
50.07065,6.47233
50.07065,6.47243
50.07065,6.47253
50.07065,6.47263
50.07065,6.47273
50.07065,6.47283
50.07065,6.47293
50.07065,6.48203
50.07065,6.48213
50.07065,6.48223
50.07065,6.48233
50.07065,6.48243
50.07065,6.48253
50.07065,6.48263
50.07065,6.48273
50.07065,6.48283
50.07065,6.48293
50.07065,6.49203
50.07065,6.49213
50.07065,6.49223
50.07065,6.49233
50.07065,6.49243
50.07065,6.49253
50.07065,6.49263
50.07065,6.49273
50.07065,6.49283
50.07065,6.49293
50.07065,7.40203
50.07065,7.40213
50.07065,7.40223
50.07065,7.40233
50.07065,7.40243
50.07065,7.40253
50.07065,7.40263
50.07065,7.40273
50.07065,7.40283
50.07065,7.40293
50.07065,7.41203
50.07065,7.41213
50.07065,7.41223
50.07065,7.41233
50.07065,7.41243
50.07065,7.41253
50.07065,7.41263
50.07065,7.41273
50.07065,7.41283
50.07065,7.41293
50.07065,7.42203
50.07065,7.42213
50.07065,7.42223
50.07065,7.42233
50.07065,7.42243
50.07065,7.42253
50.07065,7.42263
50.07065,7.42273
50.07065,7.42283
50.07065,7.42293
50.07065,7.43203
50.07065,7.43213
50.07065,7.43223
50.07065,7.43233
50.07065,7.43243
50.07065,7.43253
50.07065,7.43263
50.07065,7.43273
50.07065,7.43283
50.07065,7.43293
50.07065,7.44203
50.07065,7.44213
50.07065,7.44223
50.07065,7.44233
50.07065,7.44243
50.07065,7.44253
50.07065,7.44263
50.07065,7.44273
50.07065,7.44283
50.07065,7.44293
50.07065,7.45203
50.07065,7.45213
50.07065,7.45223
50.07065,7.45233
50.07065,7.45243
50.07065,7.45253
50.07065,7.45263
50.07065,7.45273
50.07065,7.45283
50.07065,7.45293
50.07065,7.46203
50.07065,7.46213
50.07065,7.46223
50.07065,7.46233
50.07065,7.46243
50.07065,7.46253
50.07065,7.46263
50.07065,7.46273
50.07065,7.46283
50.07065,7.46293
50.07065,7.47203
50.07065,7.47213
50.07065,7.47223
50.07065,7.47233
50.07065,7.47243
50.07065,7.47253
50.07065,7.47263
50.07065,7.47273
50.07065,7.47283
50.07065,7.47293
50.07065,7.48203
50.07065,7.48213
50.07065,7.48223
50.07065,7.48233
50.07065,7.48243
50.07065,7.48253
50.07065,7.48263
50.07065,7.48273
50.07065,7.48283
50.07065,7.48293
50.07065,7.49203
50.07065,7.49213
50.07065,7.49223
50.07065,7.49233
50.07065,7.49243
50.07065,7.49253
50.07065,7.49263
50.07065,7.49273
50.07065,7.49283
50.07065,7.49293
50.07065,8.40203
50.07065,8.40213
50.07065,8.40223
50.07065,8.40233
50.07065,8.40243
50.07065,8.40253
