lat,long
51.04065,6.40303
51.04065,6.40313
51.04065,6.40323
51.04065,6.40333
51.04065,6.40343
51.04065,6.40353
51.04065,6.40363
51.04065,6.40373
51.04065,6.40383
51.04065,6.40393
51.04065,6.41303
51.04065,6.41313
51.04065,6.41323
51.04065,6.41333
51.04065,6.41343
51.04065,6.41353
51.04065,6.41363
51.04065,6.41373
51.04065,6.41383
51.04065,6.41393
51.04065,6.42303
51.04065,6.42313
51.04065,6.42323
51.04065,6.42333
51.04065,6.42343
51.04065,6.42353
51.04065,6.42363
51.04065,6.42373
51.04065,6.42383
51.04065,6.42393
51.04065,6.43303
51.04065,6.43313
51.04065,6.43323
51.04065,6.43333
51.04065,6.43343
51.04065,6.43353
51.04065,6.43363
51.04065,6.43373
51.04065,6.43383
51.04065,6.43393
51.04065,6.44303
51.04065,6.44313
51.04065,6.44323
51.04065,6.44333
51.04065,6.44343
51.04065,6.44353
51.04065,6.44363
51.04065,6.44373
51.04065,6.44383
51.04065,6.44393
51.04065,6.45303
51.04065,6.45313
51.04065,6.45323
51.04065,6.45333
51.04065,6.45343
51.04065,6.45353
51.04065,6.45363
51.04065,6.45373
51.04065,6.45383
51.04065,6.45393
51.04065,6.46303
51.04065,6.46313
51.04065,6.46323
51.04065,6.46333
51.04065,6.46343
51.04065,6.46353
51.04065,6.46363
51.04065,6.46373
51.04065,6.46383
51.04065,6.46393
51.04065,6.47303
51.04065,6.47313
51.04065,6.47323
51.04065,6.47333
51.04065,6.47343
51.04065,6.47353
51.04065,6.47363
51.04065,6.47373
51.04065,6.47383
51.04065,6.47393
51.04065,6.48303
51.04065,6.48313
51.04065,6.48323
51.04065,6.48333
51.04065,6.48343
51.04065,6.48353
51.04065,6.48363
51.04065,6.48373
51.04065,6.48383
51.04065,6.48393
51.04065,6.49303
51.04065,6.49313
51.04065,6.49323
51.04065,6.49333
51.04065,6.49343
51.04065,6.49353
51.04065,6.49363
51.04065,6.49373
51.04065,6.49383
51.04065,6.49393
51.04065,7.40303
51.04065,7.40313
51.04065,7.40323
51.04065,7.40333
51.04065,7.40343
51.04065,7.40353
51.04065,7.40363
51.04065,7.40373
51.04065,7.40383
51.04065,7.40393
51.04065,7.41303
51.04065,7.41313
51.04065,7.41323
51.04065,7.41333
51.04065,7.41343
51.04065,7.41353
51.04065,7.41363
51.04065,7.41373
51.04065,7.41383
51.04065,7.41393
51.04065,7.42303
51.04065,7.42313
51.04065,7.42323
51.04065,7.42333
51.04065,7.42343
51.04065,7.42353
51.04065,7.42363
51.04065,7.42373
51.04065,7.42383
51.04065,7.42393
51.04065,7.43303
51.04065,7.43313
51.04065,7.43323
51.04065,7.43333
51.04065,7.43343
51.04065,7.43353
51.04065,7.43363
51.04065,7.43373
51.04065,7.43383
51.04065,7.43393
51.04065,7.44303
51.04065,7.44313
51.04065,7.44323
51.04065,7.44333
51.04065,7.44343
51.04065,7.44353
51.04065,7.44363
51.04065,7.44373
51.04065,7.44383
51.04065,7.44393
51.04065,7.45303
51.04065,7.45313
51.04065,7.45323
51.04065,7.45333
51.04065,7.45343
51.04065,7.45353
51.04065,7.45363
51.04065,7.45373
51.04065,7.45383
51.04065,7.45393
51.04065,7.46303
51.04065,7.46313
51.04065,7.46323
51.04065,7.46333
51.04065,7.46343
51.04065,7.46353
51.04065,7.46363
51.04065,7.46373
51.04065,7.46383
51.04065,7.46393
51.04065,7.47303
51.04065,7.47313
51.04065,7.47323
51.04065,7.47333
51.04065,7.47343
51.04065,7.47353
51.04065,7.47363
51.04065,7.47373
51.04065,7.47383
51.04065,7.47393
51.04065,7.48303
51.04065,7.48313
51.04065,7.48323
51.04065,7.48333
51.04065,7.48343
51.04065,7.48353
51.04065,7.48363
51.04065,7.48373
51.04065,7.48383
51.04065,7.48393
51.04065,7.49303
51.04065,7.49313
51.04065,7.49323
51.04065,7.49333
51.04065,7.49343
51.04065,7.49353
51.04065,7.49363
51.04065,7.49373
51.04065,7.49383
51.04065,7.49393
51.04065,8.40303
51.04065,8.40313
51.04065,8.40323
51.04065,8.40333
51.04065,8.40343
51.04065,8.40353
51.04065,8.40363
51.04065,8.40373
51.04065,8.40383
51.04065,8.40393
51.04065,8.41303
51.04065,8.41313
51.04065,8.41323
51.04065,8.41333
51.04065,8.41343
51.04065,8.41353
51.04065,8.41363
51.04065,8.41373
51.04065,8.41383
51.04065,8.41393
51.04065,8.42303
51.04065,8.42313
51.04065,8.42323
51.04065,8.42333
51.04065,8.42343
51.04065,8.42353
51.04065,8.42363
51.04065,8.42373
51.04065,8.42383
51.04065,8.42393
51.04065,8.43303
51.04065,8.43313
51.04065,8.43323
51.04065,8.43333
51.04065,8.43343
51.04065,8.43353
51.04065,8.43363
51.04065,8.43373
51.04065,8.43383
51.04065,8.43393
51.04065,8.44303
51.04065,8.44313
51.04065,8.44323
51.04065,8.44333
51.04065,8.44343
51.04065,8.44353
51.04065,8.44363
51.04065,8.44373
51.04065,8.44383
51.04065,8.44393
51.04065,8.45303
51.04065,8.45313
51.04065,8.45323
51.04065,8.45333
51.04065,8.45343
51.04065,8.45353
51.04065,8.45363
51.04065,8.45373
51.04065,8.45383
51.04065,8.45393
51.04065,8.46303
51.04065,8.46313
51.04065,8.46323
51.04065,8.46333
51.04065,8.46343
51.04065,8.46353
51.04065,8.46363
51.04065,8.46373
51.04065,8.46383
51.04065,8.46393
51.04065,8.47303
51.04065,8.47313
51.04065,8.47323
51.04065,8.47333
51.04065,8.47343
51.04065,8.47353
51.04065,8.47363
51.04065,8.47373
51.04065,8.47383
51.04065,8.47393
51.04065,8.48303
51.04065,8.48313
51.04065,8.48323
51.04065,8.48333
51.04065,8.48343
51.04065,8.48353
51.04065,8.48363
51.04065,8.48373
51.04065,8.48383
51.04065,8.48393
51.04065,8.49303
51.04065,8.49313
51.04065,8.49323
51.04065,8.49333
51.04065,8.49343
51.04065,8.49353
51.04065,8.49363
51.04065,8.49373
51.04065,8.49383
51.04065,8.49393
51.04065,9.40303
51.04065,9.40313
51.04065,9.40323
51.04065,9.40333
51.04065,9.40343
51.04065,9.40353
51.04065,9.40363
51.04065,9.40373
51.04065,9.40383
51.04065,9.40393
51.04065,9.41303
51.04065,9.41313
51.04065,9.41323
51.04065,9.41333
51.04065,9.41343
51.04065,9.41353
51.04065,9.41363
51.04065,9.41373
51.04065,9.41383
51.04065,9.41393
51.04065,9.42303
51.04065,9.42313
51.04065,9.42323
51.04065,9.42333
51.04065,9.42343
51.04065,9.42353
51.04065,9.42363
51.04065,9.42373
51.04065,9.42383
51.04065,9.42393
51.04065,9.43303
51.04065,9.43313
51.04065,9.43323
51.04065,9.43333
51.04065,9.43343
51.04065,9.43353
51.04065,9.43363
51.04065,9.43373
51.04065,9.43383
51.04065,9.43393
51.04065,9.44303
51.04065,9.44313
51.04065,9.44323
51.04065,9.44333
51.04065,9.44343
51.04065,9.44353
51.04065,9.44363
51.04065,9.44373
51.04065,9.44383
51.04065,9.44393
51.04065,9.45303
51.04065,9.45313
51.04065,9.45323
51.04065,9.45333
51.04065,9.45343
51.04065,9.45353
51.04065,9.45363
51.04065,9.45373
51.04065,9.45383
51.04065,9.45393
51.04065,9.46303
51.04065,9.46313
51.04065,9.46323
51.04065,9.46333
51.04065,9.46343
51.04065,9.46353
51.04065,9.46363
51.04065,9.46373
51.04065,9.46383
51.04065,9.46393
51.04065,9.47303
51.04065,9.47313
51.04065,9.47323
51.04065,9.47333
51.04065,9.47343
51.04065,9.47353
51.04065,9.47363
51.04065,9.47373
51.04065,9.47383
51.04065,9.47393
51.04065,9.48303
51.04065,9.48313
51.04065,9.48323
51.04065,9.48333
51.04065,9.48343
51.04065,9.48353
51.04065,9.48363
51.04065,9.48373
51.04065,9.48383
51.04065,9.48393
51.04065,9.49303
51.04065,9.49313
51.04065,9.49323
51.04065,9.49333
51.04065,9.49343
51.04065,9.49353
51.04065,9.49363
51.04065,9.49373
51.04065,9.49383
51.04065,9.49393
51.04065,10.40303
51.04065,10.40313
51.04065,10.40323
51.04065,10.40333
51.04065,10.40343
51.04065,10.40353
51.04065,10.40363
51.04065,10.40373
51.04065,10.40383
51.04065,10.40393
51.04065,10.41303
51.04065,10.41313
51.04065,10.41323
51.04065,10.41333
51.04065,10.41343
51.04065,10.41353
51.04065,10.41363
51.04065,10.41373
51.04065,10.41383
51.04065,10.41393
51.04065,10.42303
51.04065,10.42313
51.04065,10.42323
51.04065,10.42333
51.04065,10.42343
51.04065,10.42353
51.04065,10.42363
51.04065,10.42373
51.04065,10.42383
51.04065,10.42393
51.04065,10.43303
51.04065,10.43313
51.04065,10.43323
51.04065,10.43333
51.04065,10.43343
51.04065,10.43353
51.04065,10.43363
51.04065,10.43373
51.04065,10.43383
51.04065,10.43393
51.04065,10.44303
51.04065,10.44313
51.04065,10.44323
51.04065,10.44333
51.04065,10.44343
51.04065,10.44353
51.04065,10.44363
51.04065,10.44373
51.04065,10.44383
51.04065,10.44393
51.04065,10.45303
51.04065,10.45313
51.04065,10.45323
51.04065,10.45333
51.04065,10.45343
51.04065,10.45353
51.04065,10.45363
51.04065,10.45373
51.04065,10.45383
51.04065,10.45393
51.04065,10.46303
51.04065,10.46313
51.04065,10.46323
51.04065,10.46333
51.04065,10.46343
51.04065,10.46353
51.04065,10.46363
51.04065,10.46373
51.04065,10.46383
51.04065,10.46393
51.04065,10.47303
51.04065,10.47313
51.04065,10.47323
51.04065,10.47333
51.04065,10.47343
51.04065,10.47353
51.04065,10.47363
51.04065,10.47373
51.04065,10.47383
51.04065,10.47393
51.04065,10.48303
51.04065,10.48313
51.04065,10.48323
51.04065,10.48333
51.04065,10.48343
51.04065,10.48353
51.04065,10.48363
51.04065,10.48373
51.04065,10.48383
51.04065,10.48393
51.04065,10.49303
51.04065,10.49313
51.04065,10.49323
51.04065,10.49333
51.04065,10.49343
51.04065,10.49353
51.04065,10.49363
51.04065,10.49373
51.04065,10.49383
51.04065,10.49393
51.04065,11.40303
51.04065,11.40313
51.04065,11.40323
51.04065,11.40333
51.04065,11.40343
51.04065,11.40353
51.04065,11.40363
51.04065,11.40373
51.04065,11.40383
51.04065,11.40393
51.04065,11.41303
51.04065,11.41313
51.04065,11.41323
51.04065,11.41333
51.04065,11.41343
51.04065,11.41353
51.04065,11.41363
51.04065,11.41373
51.04065,11.41383
51.04065,11.41393
51.04065,11.42303
51.04065,11.42313
51.04065,11.42323
51.04065,11.42333
51.04065,11.42343
51.04065,11.42353
51.04065,11.42363
51.04065,11.42373
51.04065,11.42383
51.04065,11.42393
51.04065,11.43303
51.04065,11.43313
51.04065,11.43323
51.04065,11.43333
51.04065,11.43343
51.04065,11.43353
51.04065,11.43363
51.04065,11.43373
51.04065,11.43383
51.04065,11.43393
51.04065,11.44303
51.04065,11.44313
51.04065,11.44323
51.04065,11.44333
51.04065,11.44343
51.04065,11.44353
51.04065,11.44363
51.04065,11.44373
51.04065,11.44383
51.04065,11.44393
51.04065,11.45303
51.04065,11.45313
51.04065,11.45323
51.04065,11.45333
51.04065,11.45343
51.04065,11.45353
51.04065,11.45363
51.04065,11.45373
51.04065,11.45383
51.04065,11.45393
51.04065,11.46303
51.04065,11.46313
51.04065,11.46323
51.04065,11.46333
51.04065,11.46343
51.04065,11.46353
51.04065,11.46363
51.04065,11.46373
51.04065,11.46383
51.04065,11.46393
51.04065,11.47303
51.04065,11.47313
51.04065,11.47323
51.04065,11.47333
51.04065,11.47343
51.04065,11.47353
51.04065,11.47363
51.04065,11.47373
51.04065,11.47383
51.04065,11.47393
51.04065,11.48303
51.04065,11.48313
51.04065,11.48323
51.04065,11.48333
51.04065,11.48343
51.04065,11.48353
51.04065,11.48363
51.04065,11.48373
51.04065,11.48383
51.04065,11.48393
51.04065,11.49303
51.04065,11.49313
51.04065,11.49323
51.04065,11.49333
51.04065,11.49343
51.04065,11.49353
51.04065,11.49363
51.04065,11.49373
51.04065,11.49383
51.04065,11.49393
51.04065,12.40303
51.04065,12.40313
51.04065,12.40323
51.04065,12.40333
51.04065,12.40343
51.04065,12.40353
51.04065,12.40363
51.04065,12.40373
51.04065,12.40383
51.04065,12.40393
51.04065,12.41303
51.04065,12.41313
51.04065,12.41323
51.04065,12.41333
51.04065,12.41343
51.04065,12.41353
51.04065,12.41363
51.04065,12.41373
51.04065,12.41383
51.04065,12.41393
51.04065,12.42303
51.04065,12.42313
51.04065,12.42323
51.04065,12.42333
51.04065,12.42343
51.04065,12.42353
51.04065,12.42363
51.04065,12.42373
51.04065,12.42383
51.04065,12.42393
51.04065,12.43303
51.04065,12.43313
51.04065,12.43323
51.04065,12.43333
51.04065,12.43343
51.04065,12.43353
51.04065,12.43363
51.04065,12.43373
51.04065,12.43383
51.04065,12.43393
51.04065,12.44303
51.04065,12.44313
51.04065,12.44323
51.04065,12.44333
51.04065,12.44343
51.04065,12.44353
51.04065,12.44363
51.04065,12.44373
51.04065,12.44383
51.04065,12.44393
51.04065,12.45303
51.04065,12.45313
51.04065,12.45323
51.04065,12.45333
51.04065,12.45343
51.04065,12.45353
51.04065,12.45363
51.04065,12.45373
51.04065,12.45383
51.04065,12.45393
51.04065,12.46303
51.04065,12.46313
51.04065,12.46323
51.04065,12.46333
51.04065,12.46343
51.04065,12.46353
51.04065,12.46363
51.04065,12.46373
51.04065,12.46383
51.04065,12.46393
51.04065,12.47303
51.04065,12.47313
51.04065,12.47323
51.04065,12.47333
51.04065,12.47343
51.04065,12.47353
51.04065,12.47363
51.04065,12.47373
51.04065,12.47383
51.04065,12.47393
51.04065,12.48303
51.04065,12.48313
51.04065,12.48323
51.04065,12.48333
51.04065,12.48343
51.04065,12.48353
51.04065,12.48363
51.04065,12.48373
51.04065,12.48383
51.04065,12.48393
51.04065,12.49303
51.04065,12.49313
51.04065,12.49323
51.04065,12.49333
51.04065,12.49343
51.04065,12.49353
51.04065,12.49363
51.04065,12.49373
51.04065,12.49383
51.04065,12.49393
51.04065,13.40303
51.04065,13.40313
51.04065,13.40323
51.04065,13.40333
51.04065,13.40343
51.04065,13.40353
51.04065,13.40363
51.04065,13.40373
51.04065,13.40383
51.04065,13.40393
51.04065,13.41303
51.04065,13.41313
51.04065,13.41323
51.04065,13.41333
51.04065,13.41343
51.04065,13.41353
51.04065,13.41363
51.04065,13.41373
51.04065,13.41383
51.04065,13.41393
51.04065,13.42303
51.04065,13.42313
51.04065,13.42323
51.04065,13.42333
51.04065,13.42343
51.04065,13.42353
51.04065,13.42363
51.04065,13.42373
51.04065,13.42383
51.04065,13.42393
51.04065,13.43303
51.04065,13.43313
51.04065,13.43323
51.04065,13.43333
51.04065,13.43343
51.04065,13.43353
51.04065,13.43363
51.04065,13.43373
51.04065,13.43383
51.04065,13.43393
51.04065,13.44303
51.04065,13.44313
51.04065,13.44323
51.04065,13.44333
51.04065,13.44343
51.04065,13.44353
51.04065,13.44363
51.04065,13.44373
51.04065,13.44383
51.04065,13.44393
51.04065,13.45303
51.04065,13.45313
51.04065,13.45323
51.04065,13.45333
51.04065,13.45343
51.04065,13.45353
51.04065,13.45363
51.04065,13.45373
51.04065,13.45383
51.04065,13.45393
51.04065,13.46303
51.04065,13.46313
51.04065,13.46323
51.04065,13.46333
51.04065,13.46343
51.04065,13.46353
51.04065,13.46363
51.04065,13.46373
51.04065,13.46383
51.04065,13.46393
51.04065,13.47303
51.04065,13.47313
51.04065,13.47323
51.04065,13.47333
51.04065,13.47343
51.04065,13.47353
51.04065,13.47363
51.04065,13.47373
51.04065,13.47383
51.04065,13.47393
51.04065,13.48303
51.04065,13.48313
51.04065,13.48323
51.04065,13.48333
51.04065,13.48343
51.04065,13.48353
51.04065,13.48363
51.04065,13.48373
51.04065,13.48383
51.04065,13.48393
51.04065,13.49303
51.04065,13.49313
51.04065,13.49323
51.04065,13.49333
51.04065,13.49343
51.04065,13.49353
51.04065,13.49363
51.04065,13.49373
51.04065,13.49383
51.04065,13.49393
51.04065,14.40303
51.04065,14.40313
51.04065,14.40323
51.04065,14.40333
51.04065,14.40343
51.04065,14.40353
51.04065,14.40363
51.04065,14.40373
51.04065,14.40383
51.04065,14.40393
51.04065,14.41303
51.04065,14.41313
51.04065,14.41323
51.04065,14.41333
51.04065,14.41343
51.04065,14.41353
51.04065,14.41363
51.04065,14.41373
51.04065,14.41383
51.04065,14.41393
51.04065,14.42303
